image,grid,tokens,kept_now,kept_with_floor
chartqa_images/1.jpg,21x30,630,130,130
chartqa_images/2.jpg,21x30,630,130,130
chartqa_images/3.jpg,21x30,630,130,130
chartqa_images/4.jpg,21x30,630,130,130
chartqa_images/5.jpg,12x11,132,27,64
chartqa_images/6.jpg,12x11,132,27,64
chartqa_images/7.jpg,14x11,154,31,64
chartqa_images/8.jpg,14x11,154,31,64
chartqa_images/9.jpg,28x30,840,173,173
chartqa_images/10.jpg,28x30,840,173,173
chartqa_images/11.jpg,21x30,630,130,130
chartqa_images/12.jpg,21x30,630,130,130
chartqa_images/13.jpg,13x11,143,29,64
chartqa_images/14.jpg,13x11,143,29,64
chartqa_images/15.jpg,11x16,176,36,64
chartqa_images/16.jpg,11x16,176,36,64
chartqa_images/17.jpg,21x30,630,130,130
chartqa_images/18.jpg,21x30,630,130,130
chartqa_images/19.jpg,21x30,630,130,130
chartqa_images/20.jpg,21x30,630,130,130
chartqa_images/21.jpg,21x30,630,130,130
chartqa_images/22.jpg,21x30,630,130,130
chartqa_images/23.jpg,29x22,638,132,132
chartqa_images/24.jpg,29x22,638,132,132
chartqa_images/25.jpg,17x11,187,38,64
chartqa_images/26.jpg,17x11,187,38,64
chartqa_images/27.jpg,12x7,84,17,64
chartqa_images/28.jpg,12x7,84,17,64
chartqa_images/29.jpg,16x15,240,49,64
chartqa_images/30.jpg,16x15,240,49,64
chartqa_images/31.jpg,18x31,558,115,115
chartqa_images/32.jpg,18x31,558,115,115
chartqa_images/33.jpg,20x15,300,62,64
chartqa_images/34.jpg,20x15,300,62,64
chartqa_images/35.jpg,18x31,558,115,115
chartqa_images/36.jpg,18x31,558,115,115
chartqa_images/37.jpg,24x15,360,74,74
chartqa_images/38.jpg,24x15,360,74,74
chartqa_images/39.jpg,13x7,91,18,64
chartqa_images/40.jpg,13x7,91,18,64
chartqa_images/41.jpg,21x22,462,95,95
chartqa_images/42.jpg,21x22,462,95,95
chartqa_images/43.jpg,10x11,110,22,64
chartqa_images/44.jpg,10x11,110,22,64
chartqa_images/45.jpg,12x15,180,37,64
chartqa_images/46.jpg,12x15,180,37,64
chartqa_images/47.jpg,18x7,126,26,64
chartqa_images/48.jpg,18x7,126,26,64
chartqa_images/49.jpg,15x11,165,34,64
chartqa_images/50.jpg,15x11,165,34,64
chartqa_images/51.jpg,19x11,209,43,64
chartqa_images/52.jpg,19x11,209,43,64
chartqa_images/53.jpg,11x15,165,34,64
chartqa_images/54.jpg,11x15,165,34,64
chartqa_images/55.jpg,14x8,112,23,64
chartqa_images/56.jpg,14x8,112,23,64
chartqa_images/57.jpg,14x11,154,31,64
chartqa_images/58.jpg,14x11,154,31,64
chartqa_images/59.jpg,21x30,630,130,130
chartqa_images/60.jpg,21x30,630,130,130
chartqa_images/61.jpg,16x11,176,36,64
chartqa_images/62.jpg,16x11,176,36,64
chartqa_images/63.jpg,13x11,143,29,64
chartqa_images/64.jpg,13x11,143,29,64
